epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3795,3.29441,41.2691,0.98337,0,0,0,0,3.25091,21.3219,0.85605,0.00052,0.00052,0.00052
2,15.5688,3.52346,21.6789,0.97564,0,0,0,0,3.64224,21.7684,0.86638,0.00104951,0.00104951,0.00104951
3,20.1753,3.48282,15.86,0.94397,0.00017,0.0495,9e-05,2e-05,3.99004,238.964,1.09466,0.00156832,0.00156832,0.00156832
4,24.6231,3.67294,14.1952,0.98579,0.0009,0.26733,0.0625,0.0121,2.92928,9.68987,0.7936,0.0019406,0.0019406,0.0019406
5,29.0129,3.32357,9.82043,0.93788,0.00057,0.16832,0.04615,0.00871,2.96833,6.00809,0.74909,0.0019208,0.0019208,0.0019208
6,33.6162,3.2774,7.49753,0.93116,0.00057,0.16832,0.04615,0.00871,3.90462,12.9503,0.88972,0.001901,0.001901,0.001901
7,38.4397,2.97528,6.54537,0.91487,0.2837,0.0198,0.00843,0.00186,4.00085,6.53933,0.9773,0.0018812,0.0018812,0.0018812
8,43.3848,3.03273,5.31158,0.91719,0.36815,0.21782,0.14506,0.03975,3.10217,3.18448,0.85926,0.0018614,0.0018614,0.0018614
9,48.1023,2.98575,4.45061,0.90785,0.55075,0.30349,0.23749,0.0584,2.74091,1.82592,0.82773,0.0018416,0.0018416,0.0018416
10,52.7977,2.84086,4.23944,0.90717,0.54409,0.33663,0.29417,0.07594,2.54487,1.8786,0.82037,0.0018218,0.0018218,0.0018218
11,57.6622,2.79327,3.33289,0.86859,0.47353,0.40594,0.29662,0.08319,2.49745,1.71129,0.80693,0.001802,0.001802,0.001802
12,62.1402,2.88346,3.1709,0.87568,0.6356,0.36634,0.39037,0.1118,2.33659,1.52965,0.8072,0.0017822,0.0017822,0.0017822
13,66.5112,2.74967,3.09473,0.87081,0.55302,0.36634,0.36727,0.11865,2.49343,1.36956,0.81749,0.0017624,0.0017624,0.0017624
14,71.4045,2.90153,2.76543,0.89016,0.50206,0.3095,0.32527,0.09936,2.55516,1.62204,0.80208,0.0017426,0.0017426,0.0017426
15,76.5309,2.75306,2.50732,0.88063,0.71095,0.3166,0.39821,0.10952,2.61258,1.46371,0.80465,0.0017228,0.0017228,0.0017228
16,81.6808,2.6667,2.27056,0.86821,0.55986,0.40594,0.43735,0.12514,2.38566,1.44428,0.80793,0.001703,0.001703,0.001703
17,86.6298,2.70367,2.24444,0.86549,0.5216,0.37785,0.3953,0.13154,2.21854,1.52069,0.80463,0.0016832,0.0016832,0.0016832
18,91.4997,2.61949,2.13554,0.85308,0.50137,0.36634,0.36694,0.10637,2.24659,1.72124,0.78576,0.0016634,0.0016634,0.0016634
19,96.5004,2.73736,2.10363,0.86781,0.66414,0.33288,0.39614,0.10951,2.42243,1.77819,0.8172,0.0016436,0.0016436,0.0016436
20,101.405,2.58139,1.87368,0.86558,0.64625,0.34653,0.41753,0.14819,2.14669,1.53018,0.81388,0.0016238,0.0016238,0.0016238
21,106.145,2.44266,1.75291,0.85688,0.36333,0.34653,0.27455,0.09689,2.35009,1.83666,0.82755,0.001604,0.001604,0.001604
22,110.932,2.53071,1.71999,0.85459,0.7501,0.43564,0.49465,0.16762,2.27738,1.26998,0.79564,0.0015842,0.0015842,0.0015842
23,115.936,2.55514,1.6982,0.85303,0.68993,0.40594,0.48659,0.17277,2.527,1.2612,0.80395,0.0015644,0.0015644,0.0015644
24,120.773,2.76922,1.99341,0.84976,0.44229,0.33663,0.30923,0.08703,2.567,1.4338,0.79999,0.0015446,0.0015446,0.0015446
25,125.695,2.67187,1.8145,0.88181,0.7154,0.51485,0.51733,0.12738,2.62008,1.24231,0.82135,0.0015248,0.0015248,0.0015248
